latitude in degrees,latitude radians,radius in meters,gc ,gnorth
0,0.0,6378135.0,9.814202481616475,3.721615639353488e-06
1,0.017453292519943295,6378135.0,9.814188201653533,-0.0005516013969734943
2,0.03490658503988659,6378135.0,9.81414485926362,-0.0011062602916519946
3,0.05235987755982989,6378135.0,9.814072506700516,-0.001659579272488439
4,0.06981317007977318,6378135.0,9.813971231565171,-0.0022108841564870215
5,0.08726646259971647,6378135.0,9.813841156700347,-0.0027595031950848293
6,0.10471975511965978,6378135.0,9.813682440042276,-0.003304767892759515
7,0.12217304763960307,6378135.0,9.813495274429618,-0.0038460138217257162
8,0.13962634015954636,6378135.0,9.813279887369788,-0.004382581431727097
9,0.15707963267948966,6378135.0,9.813036540763099,-0.004913816853936529
10,0.17453292519943295,6378135.0,9.812765530584937,-0.0054390726979840895
11,0.19198621771937624,6378135.0,9.812467186526401,-0.0059577088411407585
12,0.20943951023931956,6378135.0,9.812141871593841,-0.006469093208695082
13,0.22689280275926285,6378135.0,9.81178998166775,-0.006972602544570755
14,0.24434609527920614,6378135.0,9.811411945021591,-0.007467623171244733
15,0.2617993877991494,6378135.0,9.811008221801107,-0.007953551738038533
16,0.2792526803190927,6378135.0,9.810579303464737,-0.008429795956869197
17,0.29670597283903605,6378135.0,9.810125712185865,-0.008895775324561928
18,0.3141592653589793,6378135.0,9.80964800021758,-0.009350921830842235
19,0.33161255787892263,6378135.0,9.80914674922073,-0.009794680651143153
20,0.3490658503988659,6378135.0,9.808622569556103,-0.010226510823381238
21,0.3665191429188092,6378135.0,9.808076099541594,-0.01064588590787462
22,0.3839724354387525,6378135.0,9.80750800467522,-0.01105229462959681
23,0.4014257279586958,6378135.0,9.806918976824987,-0.011445241501981382
24,0.4188790204786391,6378135.0,9.80630973338655,-0.011824247431515111
25,0.4363323129985824,6378135.0,9.805681016409716,-0.012188850302380337
26,0.4537856055185257,6378135.0,9.805033591694848,-0.012538605540431888
27,0.47123889803846897,6378135.0,9.804368247860234,-0.012873086655818568
28,0.4886921905584123,6378135.0,9.803685795381627,-0.013191885763585664
29,0.5061454830783556,6378135.0,9.802987065605073,-0.0134946140816213
30,0.5235987755982988,6378135.0,9.802272909734224,-0.013780902405337393
31,0.5410520681182421,6378135.0,9.801544197793392,-0.014050401558504007
32,0.5585053606381855,6378135.0,9.800801817567644,-0.01430278281968504
33,0.5759586531581288,6378135.0,9.800046673521113,-0.014537738323753107
34,0.5934119456780721,6378135.0,9.799279685694978,-0.014754981437991312
35,0.6108652381980153,6378135.0,9.798501788586377,-0.014954247112321293
36,0.6283185307179586,6378135.0,9.797713930009618,-0.015135292203227764
37,0.6457718232379019,6378135.0,9.796917069941127,-0.015297895770982315
38,0.6632251157578453,6378135.0,9.796112179349493,-0.015441859349801633
39,0.6806784082777885,6378135.0,9.795300239012038,-0.0155670071906083
40,0.6981317007977318,6378135.0,9.794482238319407,-0.01567318647609574
41,0.7155849933176751,6378135.0,9.793659174069573,-0.015760267507832798
42,0.7330382858376184,6378135.0,9.792832049252748,-0.015828143865177398
43,0.7504915783575618,6378135.0,9.792001871828719,-0.015876732535803306
44,0.767944870877505,6378135.0,9.791169653498029,-0.01590597401767846
45,0.7853981633974483,6378135.0,9.790336408468583,-0.01591583239236851
46,0.8028514559173916,6378135.0,9.789503152219114,-0.015906295369573862
47,0.8203047484373349,6378135.0,9.788670900261062,-0.015877374302843954
48,0.8377580409572782,6378135.0,9.787840666900353,-0.015829104176447617
49,0.8552113334772214,6378135.0,9.787013464000621,-0.015761543563413492
50,0.8726646259971648,6378135.0,9.786190299749329,-0.015674774554789904
51,0.8901179185171081,6378135.0,9.785372177428346,-0.015568902660208668
52,0.9075712110370514,6378135.0,9.78456009419047,-0.015444056679872331
53,0.9250245035569946,6378135.0,9.78375503984336,-0.015300388548119489
54,0.9424777960769379,6378135.0,9.782957995642393,-0.015138073148757277
55,0.9599310885968813,6378135.0,9.782169933093934,-0.014957308102384954
56,0.9773843811168246,6378135.0,9.781391812770412,-0.014758313525966564
57,0.9948376736367679,6378135.0,9.780624583138739,-0.01454133176494467
58,1.0122909661567112,6378135.0,9.779869179403441,-0.014306627098220778
59,1.0297442586766545,6378135.0,9.779126522365925,-0.014054485416361165
60,1.0471975511965976,6378135.0,9.778397517301297,-0.013785213873419808
